species;38K;ATPase;Integrase2;LbFVorf102;LbFVorf20;LbFVorf23;LbFVorf5;LbFVorf54;LbFVorf87;LbFVorf92;LbFVorf94;LbFVorf99;PDDEXK;ac38;ac81;dnapol;helicase;lcat;lef4;lef5;lef8;lef9;p33;p69;p74;pif1;pif2;pif3;pif5;count_0;count_4;count_1;count_3;count_3-4;count_1-4;count_1-3;count_1-2;count_1-3-4;count_1-2-4;count_1-2-3;count_2;count_2-3;Nb_EVEs;order;Cumulative_scaffold_length
Abisara bifasciata;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;Lepidoptera;1055
Acronicta aceris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;28.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;Lepidoptera;526330
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Alloplasta piceator;1;0;1;4;0;0;1;0;1;0;0;1;4;0;1;0;1;4;0;0;3;0;1;0;1;0;4;0;1;14.0;4.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;Hymenoptera;157715572
Amphipoea oculea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3-4;0;0;0;0;0;0;0;28.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;Lepidoptera;5919451
Amphipoea oculea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3-4;0;0;0;0;0;0;0;28.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;Lepidoptera;5919451
Andricus quercusramuli;4;0;4;0;0;0;4;0;0;3-4;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;21.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;Hymenoptera;57765
Andricus quercusramuli;4;0;4;0;0;0;4;0;0;3-4;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;21.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;Hymenoptera;57765
Andricus quercusramuli;4;0;4;0;0;0;4;0;0;3-4;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;21.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;Hymenoptera;57765
Andricus quercusramuli;4;0;4;0;0;0;4;0;0;3-4;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;21.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;Hymenoptera;57765
Andricus quercusramuli;4;0;4;0;0;0;4;0;0;3-4;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;21.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;Hymenoptera;57765
Andricus quercusramuli;4;0;4;0;0;0;4;0;0;3-4;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;21.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;Hymenoptera;57765
Andricus quercusramuli;4;0;4;0;0;0;4;0;0;3-4;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;21.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;Hymenoptera;57765
