Accession;Taxid;Species;Order;Status
GCA_018492975.1;2724454;Dolichomitussp.;Hymenoptera;3
Platygaster orseoliae;1218342;Platygastersp.;Hymenoptera;3
Cotesia vestalis;217443;Cotesia vestalis;Hymenoptera;3
GCA_021733165.1;375433;Microplitis mediator;Hymenoptera;2
Encarsia formosa;32400;Encarsia formosa;Hymenoptera;2
Psyttalia concolor;389103;Psyttalia concolor;Hymenoptera;2
GCA_013761285.1;7416;Campoletis sonorensis;Hymenoptera;1
GCA_020080835.1;32391;Cotesia glomerata;Hymenoptera;1
GCA_910591495.2;987859;Acronicta aceris;Lepidoptera;1
GCA_018237165.1;2839236;Hypophylla argenissa;Lepidoptera;1
Trichopria nigra;2939375;Trichopria sp.;Hymenoptera;1
Eretmocerus eremicus;272444;Eretmocerus eremicus;Hymenoptera;1
GCA_900490055.1;207806;Pseudoneuroterus saliens;Hymenoptera;1
GCA_018237985.1;2614024;Abisara bifasciata;Lepidoptera;1
GCA_018237305.1;2614017;Baeotiszonata;Lepidoptera;1
GCA_905404165.1;242267;Plebejus argus;Lepidoptera;1
GCA_932178445.1;199937;Andricus quercusramuli;Hymenoptera;1
GCA_018234925.1;1500677;Junonia litoralis;Lepidoptera;1
GCA_018236705.1;2507155;Junonia grisea;Lepidoptera;1
Cotesia congregata;51543;Cotesia congregata;Hymenoptera;1
Cotesia rubecula;32392;Cotesia rubecula;Hymenoptera;1
GCA_019457755.1;32260;Venturia canescens;Hymenoptera;1
GCA_932294375.1;179674;Diachrysia chrysitis;Lepidoptera;1
Aphidius colemani;78482;Aphidius colemani;Hymenoptera;1
Platygaster equestris;860877;Platygastersp.;Hymenoptera;1
GCA_018236045.1;1729663;Apodemia mejicanus;Lepidoptera;1
GCA_905404255.1;405009;Fabriciana adippe;Lepidoptera;1
GCA_905404095.1;203781;Glaucopsyche alexis;Lepidoptera;1
GCA_945859585.1;987876;Amphipoea oculea;Lepidoptera;1
GCA_018235885.1;1729666;Apodemia virgulti;Lepidoptera;1
GCA_020882685.1;2890793;Aphelinus atriplicis;Hymenoptera;1
GCA_018835575.1;89804;Cotesia chilonis;Hymenoptera;1
Psyttalia lounsbury;405760;Psyttalia lounsburyi;Hymenoptera;1
Cotesia sesamiae;89807;Cotesia sesamiae;Hymenoptera;1
Cotesia flavipes;89805;Cotesia flavipes;Hymenoptera;1
GCA_921882275.1;405034;Brenthis ino;Lepidoptera;1
GCA_946863875.1;2870495;Alloplasta piceator;Hymenoptera;1
GCA_914767635.1;653684;Melanostoma mellinum;Diptera;1
GCA_910592195.2;30195;Bombus terrestris;Hymenoptera;1
GCA_018237885.1;1109499;Eurybia lycisca;Lepidoptera;1
Eupelmus kiefferi;1566855;Eupelmus kiefferi;Hymenoptera;1
GCA_011634745.2;1588158;Catotricha subobsoleta;Diptera;1
GCA_018237745.1;2049106;Emesis diogenia;Lepidoptera;1
GCA_018236825.1;2613973;Apodemia zela;Lepidoptera;1
GCA_011634795.1;63433;Leptopilina boulardi;Hymenoptera;1
GCA_020882725.1;1041456;Aphelinus certus;Hymenoptera;1
GCA_013202065.2;2053667;Cotesia typhae;Hymenoptera;1
GCA_018902295.1;2726099;Dusonasp.;Hymenoptera;1
GCA_022816925.1;2729053;Trichacissp.;Hymenoptera;1
GCA_018491695.1;2726098;Lissonotasp.;Hymenoptera;1
GCA_010016045.1;63436;Leptopilina heterotoma;Hymenoptera;1
GCA_001855655.1;63434;Leptopilina clavipes;Hymenoptera;1
GCA_018236185.1;2613990;Emesis melancholica;Lepidoptera;1
GCA_905231855.2;198635;Eristalis tenax;Diptera;1
GCA_014905175.1;684658;Aphidius gifuensis;Hymenoptera;1
GCA_000572035.2;69319;Microplitis demolitor;Hymenoptera;1
GCA_018230145.1;2081614;Lepidochrysops patricia;Lepidoptera;1
Hyposoter didymator;260305;Hyposoter didymator;Hymenoptera;1
GCA_018237725.1;2249969;Emesis spreta;Lepidoptera;1
GCA_018237285.1;2249968;Emesis neemias;Lepidoptera;1
Trissolcus_japonicus;1388796;Trissolcus japonicus;Hymenoptera;1
GCA_000931545.1;45779;Papilio glaucus;Lepidoptera;1
GCA_018232465.1;691633;Calycopis cecrops;Lepidoptera;1
GCA_018237225.1;1140757;Emesis ocypore;Lepidoptera;1
GCA_018237825.1;717324;Theope publius;Lepidoptera;1
GCA_018250455.1;355083;Polygonus leo;Lepidoptera;1
GCA_018234305.1;165848;Junonia evarete;Lepidoptera;1
