Chr;start;end;group
Chr1;7971;8033;a
Chr1;11019;11186;a
Chr1;16561;16668;a
Chr1;23101;23345;a
Chr1;44390;44569;a
Chr1;44575;44862;a
Chr1;44911;45072;a
Chr1;47005;47109;a
Chr1;47449;47560;a
Chr1;49908;50219;a
Chr1;50910;50969;a
Chr1;51470;51629;a
Chr1;63558;63601;a
Chr1;67266;67553;a
Chr1;70641;70703;a
Chr1;76407;76475;a
Chr1;81616;81905;a
Chr1;84809;85108;a
Chr1;89236;89411;a
Chr1;94170;94229;a
Chr1;95973;96116;a
Chr1;101246;101420;a
Chr1;103814;103873;a
Chr1;110914;111129;a
Chr1;111805;111908;a
Chr1;112014;112071;a
Chr1;119913;120024;a
Chr1;122921;122980;a
Chr1;123540;123655;a
Chr1;130220;130450;a
Chr1;131141;131294;a
