Chr;start;end;value
Chr1;1;100;0.245454545454545
Chr1;101;200;0.263636363636364
Chr1;201;300;0.263636363636364
Chr1;301;400;0.227272727272727
Chr1;401;500;0.281818181818182
Chr1;501;600;0.263636363636364
Chr1;601;700;0.236363636363636
Chr1;701;800;0.281818181818182
Chr1;801;900;0.245454545454545
Chr1;901;1000;0.263636363636364
Chr1;1001;1100;0.272727272727273
Chr1;1101;1200;0.218181818181818
Chr1;1201;1300;0.236363636363636
Chr1;1301;1400;0.254545454545455
Chr1;1401;1500;0.281818181818182
Chr1;1501;1600;0.290909090909091
Chr1;1601;1700;0.227272727272727
Chr1;1701;1800;0.209090909090909
Chr1;1801;1900;0.245454545454545
Chr1;1901;2000;0.254545454545455
Chr1;2001;2100;0.254545454545455
Chr1;2101;2200;0.245454545454545
Chr1;2201;2300;0.227272727272727
Chr1;2301;2400;0.327272727272727
Chr1;2401;2500;0.272727272727273
Chr1;2501;2600;0.172727272727273
Chr1;2601;2700;0.181818181818182
Chr1;2701;2800;0.272727272727273
Chr1;2801;2900;0.209090909090909
Chr1;2901;3000;0.327272727272727
Chr1;3001;3100;0.254545454545455
Chr1;3101;3200;0.236363636363636
Chr1;3201;3300;0.263636363636364
Chr1;3301;3400;0.3
Chr1;3401;3500;0.318181818181818
Chr1;3501;3600;0.209090909090909
Chr1;3601;3700;0.254545454545455
Chr1;3701;3800;0.263636363636364
Chr1;3801;3900;0.245454545454545
Chr1;3901;4000;0.254545454545455
Chr1;4001;4100;0.272727272727273
Chr1;4101;4200;0.227272727272727
Chr1;4201;4300;0.136363636363636
Chr1;4301;4400;0.336363636363636
Chr1;4401;4500;0.345454545454545
Chr1;4501;4600;0.454545454545455
Chr1;4601;4700;0.3
Chr1;4701;4800;0.236363636363636
Chr1;4801;4900;0.254545454545455
Chr1;4901;5000;0.236363636363636
Chr1;5001;5100;0.372727272727273
Chr1;5101;5200;0.254545454545455
Chr1;5201;5300;0.236363636363636
Chr1;5301;5400;0.181818181818182
Chr1;5401;5500;0.227272727272727
Chr1;5501;5600;0.209090909090909
Chr1;5601;5700;0.2
Chr1;5701;5800;0.172727272727273
Chr1;5801;5900;0.172727272727273
Chr1;5901;6000;0.154545454545455
Chr1;6001;6100;0.236363636363636
Chr1;6101;6200;0.172727272727273
Chr1;6201;6300;0.263636363636364
Chr1;6301;6400;0.236363636363636
Chr1;6401;6500;0.227272727272727
Chr1;6501;6600;0.3
Chr1;6601;6700;0.345454545454545
Chr1;6701;6800;0.227272727272727
Chr1;6801;6900;0.272727272727273
Chr1;6901;7000;0.290909090909091
Chr1;7001;7100;0.318181818181818
Chr1;7101;7200;0.309090909090909
Chr1;7201;7300;0.281818181818182
Chr1;7301;7400;0.245454545454545
Chr1;7401;7500;0.4
Chr1;7501;7600;0.227272727272727
Chr1;7601;7700;0.163636363636364
Chr1;7701;7800;0.354545454545455
Chr1;7801;7900;0.354545454545455
Chr1;7901;8000;0.145454545454545
Chr1;8001;8100;0.363636363636364
Chr1;8101;8200;0.436363636363636
Chr1;8201;8300;0.345454545454545
Chr1;8301;8400;0.254545454545455
Chr1;8401;8500;0.154545454545455
Chr1;8501;8600;0.236363636363636
Chr1;8601;8700;0.290909090909091
Chr1;8701;8800;0.172727272727273
Chr1;8801;8900;0.245454545454545
Chr1;8901;9000;0.254545454545455
Chr1;9001;9100;0.218181818181818
Chr1;9101;9200;0.390909090909091
Chr1;9201;9300;0.2
Chr1;9301;9400;0.336363636363636
Chr1;9401;9500;0.4
Chr1;9501;9600;0.318181818181818
Chr1;9601;9700;0.154545454545455
Chr1;9701;9800;0.218181818181818
Chr1;9801;9900;0.190909090909091
Chr1;9901;10000;0.254545454545455
Chr1;10001;10100;0.181818181818182
Chr1;10101;10200;0.163636363636364
Chr1;10201;10300;0.227272727272727
Chr1;10301;10400;0.209090909090909
Chr1;10401;10500;0.290909090909091
Chr1;10501;10600;0.127272727272727
Chr1;10601;10700;0.190909090909091
Chr1;10701;10800;0.190909090909091
Chr1;10801;10900;0.218181818181818
Chr1;10901;11000;0.145454545454545
Chr1;11001;11100;0.172727272727273
Chr1;11101;11200;0.127272727272727
Chr1;11201;11300;0.227272727272727
Chr1;11301;11400;0.236363636363636
Chr1;11401;11500;0.263636363636364
Chr1;11501;11600;0.318181818181818
Chr1;11601;11700;0.254545454545455
Chr1;11701;11800;0.145454545454545
Chr1;11801;11900;0.209090909090909
Chr1;11901;12000;0.209090909090909
Chr1;12001;12100;0.281818181818182
Chr1;12101;12200;0.290909090909091
Chr1;12201;12300;0.381818181818182
Chr1;12301;12400;0.281818181818182
Chr1;12401;12500;0.154545454545455
Chr1;12501;12600;0.354545454545455
Chr1;12601;12700;0.254545454545455
Chr1;12701;12800;0.172727272727273
Chr1;12801;12900;0.236363636363636
Chr1;12901;13000;0.190909090909091
Chr1;13001;13100;0.218181818181818
Chr1;13101;13200;0.154545454545455
Chr1;13201;13300;0.145454545454545
Chr1;13301;13400;0.227272727272727
Chr1;13401;13500;0.218181818181818
Chr1;13501;13600;0.218181818181818
Chr1;13601;13700;0.254545454545455
Chr1;13701;13800;0.254545454545455
Chr1;13801;13900;0.309090909090909
Chr1;13901;14000;0.1
Chr1;14001;14100;0.245454545454545
Chr1;14101;14200;0.309090909090909
Chr1;14201;14300;0.263636363636364
Chr1;14301;14400;0.190909090909091
Chr1;14401;14500;0.181818181818182
Chr1;14501;14600;0.272727272727273
Chr1;14601;14700;0.227272727272727
Chr1;14701;14800;0.3
Chr1;14801;14900;0.3
Chr1;14901;15000;0.172727272727273
Chr1;15001;15100;0.254545454545455
Chr1;15101;15200;0.3
Chr1;15201;15300;0.263636363636364
Chr1;15301;15400;0.281818181818182
Chr1;15401;15500;0.218181818181818
Chr1;15501;15600;0.272727272727273
Chr1;15601;15700;0.281818181818182
Chr1;15701;15800;0.2
Chr1;15801;15900;0.163636363636364
Chr1;15901;16000;0.1
Chr1;16001;16100;0.190909090909091
Chr1;16101;16200;0.272727272727273
Chr1;16201;16300;0.136363636363636
Chr1;16301;16400;0.254545454545455
Chr1;16401;16500;0.281818181818182
Chr1;16501;16600;0.381818181818182
Chr1;16601;16700;0.445454545454545
Chr1;16701;16800;0.427272727272727
Chr1;16801;16900;0.309090909090909
Chr1;16901;17000;0.354545454545455
Chr1;17001;17100;0.563636363636364
Chr1;17101;17200;0.463636363636364
Chr1;17201;17300;0.409090909090909
Chr1;17301;17400;0.227272727272727
Chr1;17401;17500;0.163636363636364
Chr1;17501;17600;0.3
Chr1;17601;17700;0.3
Chr1;17701;17800;0.236363636363636
Chr1;17801;17900;0.218181818181818
Chr1;17901;18000;0.163636363636364
Chr1;18001;18100;0.263636363636364
Chr1;18101;18200;0.2
Chr1;18201;18300;0.209090909090909
Chr1;18301;18400;0.290909090909091
Chr1;18401;18500;0.372727272727273
Chr1;18501;18600;0.3
Chr1;18601;18700;0.281818181818182
Chr1;18701;18800;0.372727272727273
Chr1;18801;18900;0.281818181818182
Chr1;18901;19000;0.309090909090909
Chr1;19001;19100;0.318181818181818
Chr1;19101;19200;0.2
Chr1;19201;19300;0.163636363636364
Chr1;19301;19400;0.236363636363636
Chr1;19401;19500;0.236363636363636
Chr1;19501;19600;0.245454545454545
Chr1;19601;19700;0.318181818181818
Chr1;19701;19800;0.281818181818182
Chr1;19801;19900;0.227272727272727
Chr1;19901;20000;0.218181818181818
Chr1;20001;20100;0.318181818181818
Chr1;20101;20200;0.309090909090909
Chr1;20201;20300;0.2
Chr1;20301;20400;0.245454545454545
Chr1;20401;20500;0.363636363636364
Chr1;20501;20600;0.254545454545455
Chr1;20601;20700;0.181818181818182
Chr1;20701;20800;0.227272727272727
Chr1;20801;20900;0.181818181818182
Chr1;20901;21000;0.181818181818182
Chr1;21001;21100;0.227272727272727
Chr1;21101;21200;0.245454545454545
Chr1;21201;21300;0.2
Chr1;21301;21400;0.227272727272727
Chr1;21401;21500;0.190909090909091
Chr1;21501;21600;0.236363636363636
Chr1;21601;21700;0.227272727272727
Chr1;21701;21800;0.345454545454545
Chr1;21801;21900;0.254545454545455
Chr1;21901;22000;0.3
Chr1;22001;22100;0.236363636363636
Chr1;22101;22200;0.245454545454545
Chr1;22201;22300;0.236363636363636
Chr1;22301;22400;0.2
Chr1;22401;22500;0.227272727272727
Chr1;22501;22600;0.209090909090909
Chr1;22601;22700;0.181818181818182
Chr1;22701;22800;0.272727272727273
Chr1;22801;22900;0.263636363636364
Chr1;22901;23000;0.263636363636364
Chr1;23001;23100;0.254545454545455
Chr1;23101;23200;0.154545454545455
Chr1;23201;23300;0.263636363636364
Chr1;23301;23400;0.172727272727273
Chr1;23401;23500;0.354545454545455
Chr1;23501;23600;0.354545454545455
Chr1;23601;23700;0.190909090909091
Chr1;23701;23800;0.409090909090909
Chr1;23801;23900;0.318181818181818
Chr1;23901;24000;0.209090909090909
Chr1;24001;24100;0.354545454545455
Chr1;24101;24200;0.454545454545455
Chr1;24201;24300;0.227272727272727
Chr1;24301;24400;0.2
Chr1;24401;24500;0.2
Chr1;24501;24600;0.281818181818182
Chr1;24601;24700;0.209090909090909
Chr1;24701;24800;0.190909090909091
Chr1;24801;24900;0.245454545454545
Chr1;24901;25000;0.190909090909091
Chr1;25001;25100;0.227272727272727
Chr1;25101;25200;0.245454545454545
Chr1;25201;25300;0.154545454545455
Chr1;25301;25400;0.281818181818182
Chr1;25401;25500;0.245454545454545
Chr1;25501;25600;0.227272727272727
Chr1;25601;25700;0.263636363636364
Chr1;25701;25800;0.3
Chr1;25801;25900;0.2
Chr1;25901;26000;0.2
Chr1;26001;26100;0.336363636363636
Chr1;26101;26200;0.445454545454545
Chr1;26201;26300;0.345454545454545
Chr1;26301;26400;0.281818181818182
Chr1;26401;26500;0.245454545454545
Chr1;26501;26600;0.236363636363636
Chr1;26601;26700;0.2
Chr1;26701;26800;0.363636363636364
Chr1;26801;26900;0.354545454545455
Chr1;26901;27000;0.272727272727273
Chr1;27001;27100;0.272727272727273
Chr1;27101;27200;0.263636363636364
Chr1;27201;27300;0.245454545454545
Chr1;27301;27400;0.309090909090909
Chr1;27401;27500;0.318181818181818
Chr1;27501;27600;0.3
Chr1;27601;27700;0.327272727272727
Chr1;27701;27800;0.354545454545455
Chr1;27801;27900;0.481818181818182
Chr1;27901;28000;0.563636363636364
Chr1;28001;28100;0.245454545454545
Chr1;28101;28200;0.2
Chr1;28201;28300;0.190909090909091
Chr1;28301;28400;0.190909090909091
Chr1;28401;28500;0.209090909090909
Chr1;28501;28600;0.218181818181818
Chr1;28601;28700;0.172727272727273
Chr1;28701;28800;0.127272727272727
Chr1;28801;28900;0.236363636363636
Chr1;28901;29000;0.209090909090909
Chr1;29001;29100;0.2
Chr1;29101;29200;0.236363636363636
Chr1;29201;29300;0.281818181818182
Chr1;29301;29400;0.281818181818182
Chr1;29401;29500;0.218181818181818
Chr1;29501;29600;0.245454545454545
Chr1;29601;29700;0.236363636363636
Chr1;29701;29800;0.209090909090909
Chr1;29801;29900;0.209090909090909
Chr1;29901;30000;0.263636363636364
Chr1;30001;30100;0.227272727272727
Chr1;30101;30200;0.272727272727273
Chr1;30201;30300;0.227272727272727
Chr1;30301;30400;0.3
Chr1;30401;30500;0.209090909090909
Chr1;30501;30600;0.254545454545455
Chr1;30601;30700;0.254545454545455
Chr1;30701;30800;0.381818181818182
Chr1;30801;30900;0.127272727272727
Chr1;30901;31000;0.254545454545455
Chr1;31001;31100;0.427272727272727
Chr1;31101;31200;0.327272727272727
Chr1;31201;31300;0.145454545454545
Chr1;31301;31400;0.318181818181818
Chr1;31401;31500;0.263636363636364
Chr1;31501;31600;0.2
Chr1;31601;31700;0.190909090909091
Chr1;31701;31800;0.163636363636364
Chr1;31801;31900;0.218181818181818
Chr1;31901;32000;0.272727272727273
Chr1;32001;32100;0.172727272727273
