Chr;start;end;label
Chr1;1244;2248;integrase
Chr1;3768;5858;LbFV_orf5
Chr1;8839;11178;JmjC
Chr1;12480;14210;JmjC
Chr1;18663;19343;38K
Chr1;19755;20903;LbFV_orf20
Chr1;22942;23169;LbFV_orf23
Chr1;29003;30688;pif-1
Chr1;38600;39298;Ac38
Chr1;39301;39621;lef-5
Chr1;41498;42508;pif-5
Chr1;48381;49502;pif-2
Chr1;49906;50241;LbFV_orf54
Chr1;50262;50858;pif-3
Chr1;51529;55455;DNA polymerase
Chr1;56178;57266;LCAT
Chr1;60094;62283;p74
Chr1;65214;66143;PD-(D/E)XK
Chr1;66317;68254;helicase2
Chr1;70086;70496;p6.9
Chr1;72250;74280;lef-9
Chr1;76496;78106;ATPase
Chr1;81460;82107;Ac81
Chr1;82379;82909;LbFV_orf87
Chr1;85847;90628;LbFV_orf92
Chr1;91063;91611;LbFV_orf94
Chr1;91718;94864;lef-8
Chr1;94937;95809;p33
Chr1;96468;97388;LbFV_orf99
Chr1;99011;100093;LbFV_orf102
Chr1;106978;108855;lef-4
