Chr;start;end;depth
Chr1;1;2;261
Chr1;2;3;279
Chr1;3;4;303
Chr1;4;5;302
Chr1;5;6;317
Chr1;6;7;321
Chr1;7;8;335
Chr1;8;9;334
Chr1;9;10;333
Chr1;10;11;332
Chr1;11;12;336
Chr1;12;13;337
Chr1;13;14;336
Chr1;14;15;337
Chr1;15;16;336
Chr1;16;17;328
Chr1;17;18;342
Chr1;18;19;339
Chr1;19;20;314
Chr1;20;21;339
Chr1;21;22;343
Chr1;22;23;340
Chr1;23;24;341
Chr1;24;25;344
Chr1;25;26;331
Chr1;26;27;346
Chr1;27;28;344
Chr1;28;29;341
Chr1;29;30;345
Chr1;30;31;339
Chr1;31;32;343
Chr1;32;33;340
Chr1;33;34;348
Chr1;34;35;344
Chr1;35;36;338
Chr1;36;37;346
Chr1;37;38;344
Chr1;38;39;346
Chr1;39;40;345
Chr1;40;41;342
Chr1;41;42;346
Chr1;42;43;342
Chr1;43;44;337
Chr1;44;45;344
Chr1;45;46;330
Chr1;46;48;348
Chr1;48;49;344
Chr1;49;50;333
Chr1;50;51;347
Chr1;51;52;340
Chr1;52;53;347
Chr1;53;54;342
Chr1;54;55;345
Chr1;55;56;340
Chr1;56;57;347
Chr1;57;58;332
Chr1;58;61;346
Chr1;61;62;345
Chr1;62;64;346
Chr1;64;65;342
Chr1;65;66;346
Chr1;66;67;328
Chr1;67;69;350
Chr1;69;70;343
Chr1;70;71;349
Chr1;71;72;346
Chr1;72;73;338
Chr1;73;74;348
Chr1;74;75;343
Chr1;75;76;340
Chr1;76;77;349
Chr1;77;79;346
Chr1;79;81;344
Chr1;81;82;345
Chr1;82;83;350
Chr1;83;84;338
Chr1;84;85;342
Chr1;85;86;350
Chr1;86;87;345
Chr1;87;88;339
Chr1;88;89;349
Chr1;89;90;345
Chr1;90;91;346
Chr1;91;92;348
Chr1;92;93;337
Chr1;93;94;350
Chr1;94;95;345
Chr1;95;96;344
Chr1;96;97;334
Chr1;97;98;349
Chr1;98;99;350
Chr1;99;100;348
Chr1;100;101;342
Chr1;101;102;350
Chr1;102;103;348
Chr1;103;104;350
Chr1;104;105;320
Chr1;105;106;346
Chr1;106;109;350
Chr1;109;111;345
Chr1;111;112;338
Chr1;112;113;348
Chr1;113;114;347
Chr1;114;115;332
Chr1;115;117;350
Chr1;117;118;349
Chr1;118;119;346
Chr1;119;120;347
Chr1;120;121;341
Chr1;121;122;332
Chr1;122;123;347
Chr1;123;124;344
Chr1;124;125;331
Chr1;125;127;349
Chr1;127;129;347
Chr1;129;130;341
Chr1;130;131;348
Chr1;131;132;344
Chr1;132;133;348
Chr1;133;134;328
Chr1;134;135;349
Chr1;135;137;348
Chr1;137;138;334
Chr1;138;139;348
Chr1;139;140;345
Chr1;140;141;341
Chr1;141;142;349
Chr1;142;143;336
Chr1;143;144;348
Chr1;144;145;347
Chr1;145;146;336
Chr1;146;147;350
Chr1;147;148;348
Chr1;148;149;333
Chr1;149;150;349
Chr1;150;151;344
Chr1;151;152;346
Chr1;152;153;344
Chr1;153;154;329
Chr1;154;155;349
Chr1;155;156;347
Chr1;156;157;344
Chr1;157;158;337
Chr1;158;159;345
Chr1;159;160;349
Chr1;160;161;332
Chr1;161;162;349
Chr1;162;163;345
Chr1;163;164;346
Chr1;164;165;343
Chr1;165;166;335
Chr1;166;167;349
Chr1;167;168;350
Chr1;168;169;349
Chr1;169;170;343
Chr1;170;171;341
Chr1;171;173;350
Chr1;173;174;342
Chr1;174;175;350
Chr1;175;176;337
Chr1;176;177;350
Chr1;177;178;349
Chr1;178;179;346
Chr1;179;180;347
Chr1;180;181;346
Chr1;181;182;348
Chr1;182;183;338
Chr1;183;184;350
Chr1;184;185;348
Chr1;185;186;350
Chr1;186;187;346
Chr1;187;188;327
Chr1;188;189;351
Chr1;189;190;337
Chr1;190;191;350
Chr1;191;192;347
Chr1;192;193;333
Chr1;193;194;349
Chr1;194;195;346
Chr1;195;196;348
Chr1;196;197;331
Chr1;197;199;349
Chr1;199;200;341
Chr1;200;201;343
Chr1;201;202;346
Chr1;202;203;341
Chr1;203;204;349
Chr1;204;205;344
Chr1;205;206;348
Chr1;206;207;339
Chr1;207;208;350
Chr1;208;209;346
Chr1;209;210;345
Chr1;210;211;349
Chr1;211;212;348
Chr1;212;213;344
Chr1;213;214;341
Chr1;214;215;345
Chr1;215;216;349
Chr1;216;217;340
Chr1;217;218;351
Chr1;218;220;345
Chr1;220;221;348
Chr1;221;222;343
Chr1;222;223;357
Chr1;223;224;353
Chr1;224;225;354
Chr1;225;226;356
Chr1;226;227;358
Chr1;227;228;334
Chr1;228;229;353
Chr1;229;230;358
Chr1;230;232;359
Chr1;232;233;354
Chr1;233;234;348
Chr1;234;235;356
Chr1;235;236;354
Chr1;236;237;352
Chr1;237;238;347
Chr1;238;239;358
Chr1;239;240;352
Chr1;240;241;348
Chr1;241;242;338
Chr1;242;243;356
Chr1;243;244;358
Chr1;244;245;357
Chr1;245;246;354
Chr1;246;247;348
Chr1;247;248;351
Chr1;248;249;358
Chr1;249;250;345
Chr1;250;251;357
Chr1;251;252;354
Chr1;252;253;338
Chr1;253;254;358
Chr1;254;255;341
Chr1;255;256;358
Chr1;256;258;357
Chr1;258;259;355
Chr1;259;260;340
Chr1;260;261;358
Chr1;261;262;356
Chr1;262;263;343
Chr1;263;264;357
Chr1;264;265;354
Chr1;265;266;343
Chr1;266;267;357
Chr1;267;268;352
Chr1;268;269;357
Chr1;269;270;344
Chr1;270;271;355
Chr1;271;272;340
Chr1;272;273;358
Chr1;273;274;357
Chr1;274;275;350
Chr1;275;276;353
Chr1;276;278;352
Chr1;278;280;351
Chr1;280;281;356
Chr1;281;282;353
Chr1;282;283;354
Chr1;283;284;359
Chr1;284;285;339
Chr1;285;286;354
Chr1;286;287;364
Chr1;287;288;365
Chr1;288;289;362
Chr1;289;290;359
Chr1;290;291;358
Chr1;291;292;338
Chr1;292;294;360
Chr1;294;295;356
Chr1;295;296;345
Chr1;296;297;362
Chr1;297;298;364
Chr1;298;299;361
Chr1;299;300;349
Chr1;300;301;363
Chr1;301;302;354
Chr1;302;303;336
Chr1;303;304;361
Chr1;304;305;363
Chr1;305;307;364
Chr1;307;308;360
Chr1;308;309;357
Chr1;309;310;347
Chr1;310;311;364
Chr1;311;312;363
Chr1;312;313;361
Chr1;313;314;360
Chr1;314;315;354
Chr1;315;316;364
Chr1;316;317;359
Chr1;317;319;361
Chr1;319;320;355
Chr1;320;321;354
Chr1;321;322;362
Chr1;322;323;359
Chr1;323;324;358
Chr1;324;325;361
Chr1;325;326;350
Chr1;326;328;364
Chr1;328;329;361
Chr1;329;330;348
Chr1;330;331;363
Chr1;331;332;362
Chr1;332;333;340
Chr1;333;334;362
Chr1;334;335;356
Chr1;335;336;358
Chr1;336;337;360
Chr1;337;338;361
Chr1;338;339;354
Chr1;339;340;351
Chr1;340;342;362
Chr1;342;343;351
Chr1;343;344;360
Chr1;344;345;347
Chr1;345;346;363
Chr1;346;347;364
Chr1;347;348;342
Chr1;348;349;364
Chr1;349;350;360
Chr1;350;351;358
Chr1;351;352;361
Chr1;352;353;346
Chr1;353;354;363
Chr1;354;355;364
Chr1;355;356;363
Chr1;356;357;357
Chr1;357;358;360
Chr1;358;359;361
Chr1;359;360;352
Chr1;360;361;363
Chr1;361;362;360
Chr1;362;363;347
Chr1;363;364;363
Chr1;364;366;358
Chr1;366;367;360
Chr1;367;368;344
Chr1;368;369;360
Chr1;369;370;364
Chr1;370;371;362
Chr1;371;372;346
Chr1;372;374;363
Chr1;374;375;358
Chr1;375;376;359
Chr1;376;377;338
Chr1;377;378;360
Chr1;378;379;362
Chr1;379;380;355
Chr1;380;381;358
Chr1;381;382;361
Chr1;382;383;359
Chr1;383;384;337
Chr1;384;385;361
Chr1;385;386;363
Chr1;386;387;358
Chr1;387;388;356
Chr1;388;389;347
Chr1;389;390;361
Chr1;390;391;356
Chr1;391;392;363
Chr1;392;393;361
Chr1;393;394;349
Chr1;394;395;363
Chr1;395;396;359
Chr1;396;397;346
Chr1;397;398;361
Chr1;398;399;359
Chr1;399;400;355
Chr1;400;401;358
Chr1;401;402;352
Chr1;402;403;356
Chr1;403;404;358
Chr1;404;405;343
Chr1;405;406;361
Chr1;406;407;360
Chr1;407;408;350
Chr1;408;409;362
Chr1;409;410;360
Chr1;410;412;354
Chr1;412;413;361
Chr1;413;414;359
Chr1;414;415;356
Chr1;415;416;358
Chr1;416;417;353
Chr1;417;418;359
Chr1;418;419;360
Chr1;419;420;345
Chr1;420;421;361
Chr1;421;422;354
Chr1;422;423;358
Chr1;423;424;357
Chr1;424;425;354
Chr1;425;426;358
Chr1;426;427;360
Chr1;427;428;358
Chr1;428;429;360
Chr1;429;430;357
Chr1;430;431;359
Chr1;431;432;350
Chr1;432;433;359
Chr1;433;434;361
Chr1;434;435;354
Chr1;435;436;332
Chr1;436;437;360
Chr1;437;438;361
Chr1;438;440;359
Chr1;440;441;353
Chr1;441;442;361
Chr1;442;443;359
Chr1;443;444;346
Chr1;444;446;359
Chr1;446;447;358
Chr1;447;448;357
Chr1;448;449;356
Chr1;449;450;353
Chr1;450;451;350
Chr1;451;452;352
Chr1;452;453;361
Chr1;453;454;355
Chr1;454;455;356
Chr1;455;456;348
Chr1;456;457;351
Chr1;457;458;340
Chr1;458;459;351
Chr1;459;460;349
Chr1;460;461;344
Chr1;461;462;346
Chr1;462;463;347
Chr1;463;464;345
Chr1;464;465;350
Chr1;465;466;351
Chr1;466;467;344
Chr1;467;468;348
Chr1;468;469;340
Chr1;469;470;349
Chr1;470;471;330
Chr1;471;472;349
Chr1;472;473;350
Chr1;473;474;347
Chr1;474;475;337
Chr1;475;476;350
Chr1;476;477;343
Chr1;477;478;347
Chr1;478;479;350
Chr1;479;480;349
Chr1;480;481;340
Chr1;481;482;344
Chr1;482;483;350
Chr1;483;485;345
Chr1;485;486;347
Chr1;486;487;332
Chr1;487;488;349
Chr1;488;489;347
Chr1;489;490;336
Chr1;490;491;351
Chr1;491;492;343
Chr1;492;493;348
Chr1;493;494;344
Chr1;494;495;348
Chr1;495;496;336
Chr1;496;497;351
Chr1;497;498;350
Chr1;498;499;347
Chr1;499;500;343
Chr1;500;501;331
Chr1;501;502;351
Chr1;502;504;350
Chr1;504;505;347
Chr1;505;506;322
Chr1;506;507;347
Chr1;507;509;351
Chr1;509;511;350
Chr1;511;512;342
Chr1;512;513;349
Chr1;513;514;348
Chr1;514;515;344
Chr1;515;516;333
Chr1;516;517;350
Chr1;517;518;347
Chr1;518;519;333
Chr1;519;521;349
Chr1;521;522;347
Chr1;522;523;338
Chr1;523;524;351
Chr1;524;525;346
Chr1;525;526;343
Chr1;526;527;336
Chr1;527;528;354
Chr1;528;529;352
Chr1;529;531;353
Chr1;531;532;346
Chr1;532;533;351
Chr1;533;534;350
Chr1;534;535;353
Chr1;535;536;337
Chr1;536;537;354
Chr1;537;538;353
Chr1;538;539;336
Chr1;539;540;355
Chr1;540;541;346
Chr1;541;543;352
Chr1;543;544;351
Chr1;544;545;352
Chr1;545;546;346
Chr1;546;547;356
Chr1;547;548;351
Chr1;548;549;347
Chr1;549;550;346
Chr1;550;551;356
Chr1;551;552;345
Chr1;552;553;356
Chr1;553;554;351
Chr1;554;555;356
Chr1;555;556;352
Chr1;556;557;351
Chr1;557;560;352
Chr1;560;561;349
Chr1;561;562;341
Chr1;562;563;355
Chr1;563;564;353
Chr1;564;565;351
Chr1;565;567;352
Chr1;567;568;348
Chr1;568;570;353
Chr1;570;571;348
Chr1;571;572;355
Chr1;572;573;340
Chr1;573;575;356
Chr1;575;576;351
Chr1;576;577;317
Chr1;577;578;350
Chr1;578;580;356
Chr1;580;581;355
Chr1;581;582;354
Chr1;582;584;351
Chr1;584;585;344
Chr1;585;586;354
Chr1;586;587;349
Chr1;587;588;352
Chr1;588;589;340
Chr1;589;590;353
Chr1;590;591;350
Chr1;591;592;336
Chr1;592;593;355
Chr1;593;594;353
Chr1;594;595;354
Chr1;595;596;349
Chr1;596;597;351
Chr1;597;598;350
Chr1;598;599;347
Chr1;599;600;354
Chr1;600;601;351
Chr1;601;602;354
Chr1;602;603;352
Chr1;603;604;342
Chr1;604;605;351
Chr1;605;606;343
Chr1;606;607;355
Chr1;607;608;354
Chr1;608;609;352
Chr1;609;610;325
Chr1;610;611;352
Chr1;611;614;356
Chr1;614;615;335
Chr1;615;616;354
Chr1;616;618;355
Chr1;618;619;351
Chr1;619;620;342
Chr1;620;621;356
Chr1;621;622;346
Chr1;622;623;353
Chr1;623;624;351
Chr1;624;625;345
Chr1;625;626;354
Chr1;626;627;352
Chr1;627;628;356
Chr1;628;629;340
Chr1;629;630;355
Chr1;630;631;354
Chr1;631;632;351
Chr1;632;633;350
Chr1;633;634;344
Chr1;634;635;355
Chr1;635;636;345
Chr1;636;638;350
Chr1;638;639;337
Chr1;639;641;356
Chr1;641;642;354
Chr1;642;643;351
Chr1;643;644;350
Chr1;644;645;351
Chr1;645;646;353
Chr1;646;647;346
Chr1;647;648;355
Chr1;648;650;347
Chr1;650;651;352
Chr1;651;652;354
Chr1;652;653;341
Chr1;653;654;350
Chr1;654;655;354
Chr1;655;656;350
Chr1;656;657;345
Chr1;657;658;354
Chr1;658;659;353
Chr1;659;660;349
Chr1;660;661;342
Chr1;661;662;350
Chr1;662;663;339
Chr1;663;664;354
Chr1;664;665;353
Chr1;665;666;350
Chr1;666;667;347
Chr1;667;668;349
Chr1;668;669;354
Chr1;669;670;349
Chr1;670;671;344
Chr1;671;672;336
Chr1;672;673;354
Chr1;673;674;349
Chr1;674;675;346
Chr1;675;676;349
Chr1;676;677;354
Chr1;677;678;340
Chr1;678;679;353
Chr1;679;680;350
Chr1;680;681;352
Chr1;681;683;355
Chr1;683;684;348
Chr1;684;685;346
Chr1;685;686;341
Chr1;686;688;357
Chr1;688;689;342
Chr1;689;692;356
Chr1;692;693;335
Chr1;693;694;355
Chr1;694;695;357
Chr1;695;696;355
Chr1;696;697;354
Chr1;697;698;330
Chr1;698;699;350
Chr1;699;700;354
Chr1;700;702;357
Chr1;702;703;360
Chr1;703;704;357
Chr1;704;705;359
Chr1;705;706;348
Chr1;706;707;359
Chr1;707;708;355
Chr1;708;709;346
Chr1;709;710;360
Chr1;710;711;355
Chr1;711;712;344
Chr1;712;714;361
Chr1;714;716;356
Chr1;716;717;354
Chr1;717;718;356
Chr1;718;719;354
Chr1;719;720;359
Chr1;720;721;357
Chr1;721;722;358
Chr1;722;723;356
Chr1;723;724;349
Chr1;724;725;360
Chr1;725;728;354
Chr1;728;729;353
Chr1;729;730;354
Chr1;730;731;358
Chr1;731;732;350
Chr1;732;733;355
Chr1;733;734;317
Chr1;734;735;358
Chr1;735;736;361
Chr1;736;738;362
Chr1;738;739;352
Chr1;739;740;362
Chr1;740;741;358
Chr1;741;742;363
Chr1;742;743;337
Chr1;743;744;362
Chr1;744;745;361
Chr1;745;747;357
Chr1;747;748;363
Chr1;748;749;367
Chr1;749;750;353
Chr1;750;752;367
Chr1;752;753;358
Chr1;753;754;368
Chr1;754;755;351
Chr1;755;756;368
Chr1;756;757;363
Chr1;757;758;345
Chr1;758;759;368
Chr1;759;760;364
Chr1;760;761;363
Chr1;761;762;365
Chr1;762;763;340
Chr1;763;764;366
Chr1;764;765;368
Chr1;765;766;367
Chr1;766;767;366
Chr1;767;768;360
Chr1;768;769;366
Chr1;769;770;368
Chr1;770;771;350
Chr1;771;772;366
Chr1;772;773;360
Chr1;773;774;367
Chr1;774;775;361
Chr1;775;776;368
Chr1;776;777;345
Chr1;777;778;364
Chr1;778;779;368
Chr1;779;780;367
Chr1;780;781;365
Chr1;781;782;352
Chr1;782;783;363
Chr1;783;784;354
Chr1;784;785;368
Chr1;785;786;367
Chr1;786;787;357
Chr1;787;788;361
Chr1;788;789;355
Chr1;789;790;366
Chr1;790;791;356
Chr1;791;792;364
Chr1;792;793;363
Chr1;793;794;362
Chr1;794;795;359
Chr1;795;796;367
Chr1;796;797;359
Chr1;797;798;363
Chr1;798;799;358
Chr1;799;800;367
Chr1;800;801;366
Chr1;801;802;353
Chr1;802;803;367
Chr1;803;804;349
Chr1;804;805;368
Chr1;805;806;361
Chr1;806;807;362
Chr1;807;808;352
Chr1;808;809;368
Chr1;809;810;363
Chr1;810;811;366
Chr1;811;812;349
Chr1;812;813;366
Chr1;813;814;363
Chr1;814;815;350
Chr1;815;816;363
Chr1;816;817;347
Chr1;817;819;364
Chr1;819;820;356
Chr1;820;821;360
Chr1;821;822;362
Chr1;822;823;358
Chr1;823;825;360
Chr1;825;826;359
Chr1;826;827;361
Chr1;827;828;357
Chr1;828;829;353
Chr1;829;830;362
Chr1;830;831;355
Chr1;831;832;360
Chr1;832;833;356
Chr1;833;834;360
Chr1;834;835;348
Chr1;835;837;364
Chr1;837;838;358
Chr1;838;839;360
Chr1;839;840;361
Chr1;840;841;354
Chr1;841;842;364
Chr1;842;843;348
Chr1;843;844;363
Chr1;844;845;366
Chr1;845;846;362
Chr1;846;847;345
Chr1;847;848;367
Chr1;848;849;355
Chr1;849;850;353
Chr1;850;851;366
Chr1;851;852;359
Chr1;852;853;358
Chr1;853;854;360
Chr1;854;855;356
Chr1;855;856;366
Chr1;856;857;365
Chr1;857;858;354
Chr1;858;859;363
Chr1;859;860;349
Chr1;860;861;366
Chr1;861;862;350
Chr1;862;863;366
Chr1;863;864;357
Chr1;864;865;366
Chr1;865;866;363
Chr1;866;867;358
Chr1;867;868;331
Chr1;868;869;362
Chr1;869;870;365
Chr1;870;871;363
Chr1;871;872;359
Chr1;872;873;362
Chr1;873;874;358
Chr1;874;875;366
Chr1;875;876;367
Chr1;876;877;362
Chr1;877;878;352
Chr1;878;879;367
Chr1;879;880;354
Chr1;880;881;367
Chr1;881;882;364
