Chr;start;end;label
Chr1;1;3837;DNA pol
Chr1;10332;11123;p33
Chr1;11151;11831;Ac81
Chr1;11841;12020;p6.9
Chr1;12253;13191;LbFV_orf99-like
Chr1;14262;14891;lef-5
Chr1;14836;15558;Ac38
Chr1;22075;27147;LbFV_orf92-like
Chr1;27787;30066;p74
Chr1;30123;31046;LbFV_orf94-like
Chr1;31043;31276;LbFV_orf23-like
Chr1;32231;32701;LbFV_orf54-like
Chr1;32661;33230;pif-3
Chr1;35899;37290;JmjC
Chr1;38618;40531;lef-9
Chr1;42829;44433;ATPase
Chr1;48449;49753;LbFV_orf20-like
Chr1;52601;55507;lef-8
Chr1;59150;60673;PD-(D/E)XK
Chr1;60675;62684;pif-1
Chr1;65169;65888;LbFV_orf87-like
Chr1;65876;68032;LbFV_orf5-like
Chr1;71800;72855;pif-2
Chr1;72854;73888;LCAT
Chr1;73856;74731;LbFV_orf102-like
Chr1;74730;75833;pif-5
Chr1;82060;82680;38K
Chr1;84678;86822;JmjC
Chr1;94398;96314;helicase2
Chr1;96450;97460;integrase
Chr1;99067;100584;lef-4
