Chr;start;end;value
Chr1;1;100;32
Chr1;101;200;35
Chr1;201;300;41
Chr1;301;400;30
Chr1;401;500;37
Chr1;501;600;45
Chr1;601;700;38
Chr1;701;800;27
Chr1;801;900;42
Chr1;901;1000;44
Chr1;1001;1100;52
Chr1;1101;1200;37
Chr1;1201;1300;40
Chr1;1301;1400;28
Chr1;1401;1500;60
Chr1;1501;1600;44
Chr1;1601;1700;39
Chr1;1701;1800;45
Chr1;1801;1900;42
Chr1;1901;2000;36
Chr1;2001;2100;48
Chr1;2101;2200;43
Chr1;2201;2300;46
Chr1;2301;2400;52
Chr1;2401;2500;52
Chr1;2501;2600;41
Chr1;2601;2700;35
Chr1;2701;2800;36
Chr1;2801;2900;41
Chr1;2901;3000;50
Chr1;3001;3100;38
Chr1;3101;3200;42
Chr1;3201;3300;51
Chr1;3301;3400;35
Chr1;3401;3500;41
Chr1;3501;3600;41
Chr1;3601;3700;40
Chr1;3701;3800;45
Chr1;3801;3900;39
Chr1;3901;4000;42
Chr1;4001;4100;59
Chr1;4101;4200;43
Chr1;4201;4300;29
Chr1;4301;4400;49
Chr1;4401;4500;60
Chr1;4501;4600;56
Chr1;4601;4700;52
Chr1;4701;4800;36
Chr1;4801;4900;25
Chr1;4901;5000;36
Chr1;5001;5100;44
Chr1;5101;5200;46
Chr1;5201;5300;39
Chr1;5301;5400;40
Chr1;5401;5500;48
Chr1;5501;5600;64
Chr1;5601;5700;40
Chr1;5701;5800;46
Chr1;5801;5900;30
Chr1;5901;6000;40
Chr1;6001;6100;46
Chr1;6101;6200;36
Chr1;6201;6300;40
Chr1;6301;6400;29
Chr1;6401;6500;31
Chr1;6501;6600;38
Chr1;6601;6700;53
Chr1;6701;6800;45
Chr1;6801;6900;33
Chr1;6901;7000;29
Chr1;7001;7100;50
Chr1;7101;7200;27
Chr1;7201;7300;29
Chr1;7301;7400;35
Chr1;7401;7500;41
Chr1;7501;7600;33
Chr1;7601;7700;26
Chr1;7701;7800;36
Chr1;7801;7900;33
Chr1;7901;8000;26
Chr1;8001;8100;55
Chr1;8101;8200;55
Chr1;8201;8300;54
Chr1;8301;8400;59
Chr1;8401;8500;46
Chr1;8501;8600;39
Chr1;8601;8700;39
Chr1;8701;8800;44
Chr1;8801;8900;44
Chr1;8901;9000;50
Chr1;9001;9100;36
Chr1;9101;9200;48
Chr1;9201;9300;47
Chr1;9301;9400;41
Chr1;9401;9500;36
Chr1;9501;9600;25
Chr1;9601;9700;25
Chr1;9701;9800;47
Chr1;9801;9900;29
Chr1;9901;10000;18
Chr1;10001;10100;31
Chr1;10101;10200;66
Chr1;10201;10300;45
Chr1;10301;10400;42
Chr1;10401;10500;46
Chr1;10501;10600;50
Chr1;10601;10700;44
Chr1;10701;10800;39
Chr1;10801;10900;51
Chr1;10901;11000;50
Chr1;11001;11100;65
