Chr;start;end;group
Chr1;1;4347;a
Chr1;1083;5761;b
Chr1;5860;6123;b
Chr1;6186;7355;b
Chr1;8357;9076;a
Chr1;9266;9439;b
Chr1;9370;9573;a
Chr1;9603;11168;a
Chr1;11192;12403;b
Chr1;12434;13861;a
Chr1;14142;14447;a
Chr1;14434;16587;b
Chr1;17639;19216;a
Chr1;19469;19984;b
Chr1;20097;23258;b
Chr1;23604;23894;b
Chr1;23905;24114;b
Chr1;24612;24788;a
Chr1;24825;28529;b
Chr1;28625;29461;b
Chr1;29485;30822;b
Chr1;31339;32637;b
Chr1;34014;35270;b
Chr1;35410;36471;b
Chr1;36619;42300;a
Chr1;42473;43396;a
Chr1;43440;43721;b
Chr1;43797;44543;b
Chr1;44561;44851;b
Chr1;44954;45418;b
Chr1;45455;46126;a
Chr1;46116;46754;a
Chr1;47508;49124;a
Chr1;49418;49621;b
Chr1;49704;50054;b
Chr1;51020;51283;a
Chr1;51648;53135;b
Chr1;53128;53796;b
Chr1;53966;55090;a
Chr1;55254;56546;b
Chr1;56628;57593;a
Chr1;57689;58600;b
Chr1;58875;59147;a
Chr1;59211;61307;b
Chr1;61417;61914;a
Chr1;61969;62319;a
Chr1;62402;62605;a
Chr1;62847;63509;b
Chr1;63666;64994;a
Chr1;65212;66699;a
Chr1;66581;67348;a
Chr1;67661;68875;a
Chr1;69429;70541;a
Chr1;70679;71569;a
Chr1;71585;72340;b
Chr1;72588;72806;a
Chr1;72882;74927;b
Chr1;75051;75569;a
Chr1;75629;76111;a
Chr1;76462;76650;b
Chr1;77101;78108;b
Chr1;78858;80600;a
Chr1;80695;81141;a
Chr1;81192;81650;a
Chr1;81715;82323;b
Chr1;82344;83036;b
Chr1;83271;83510;b
Chr1;84373;84885;b
Chr1;86041;89190;a
Chr1;89287;89553;b
Chr1;89796;90089;a
Chr1;90256;92523;a
Chr1;92935;93297;a
Chr1;94297;94599;a
Chr1;94811;95227;b
Chr1;95246;96076;b
Chr1;96177;96464;b
Chr1;96394;96648;a
Chr1;96592;96783;b
Chr1;96918;98123;b
Chr1;98090;98659;b
Chr1;98710;101007;a
Chr1;101513;102514;a
Chr1;102535;103116;b
Chr1;104284;105231;a
Chr1;105264;105458;b
Chr1;105500;106252;b
Chr1;106323;110897;b
Chr1;111194;111442;b
Chr1;112195;113865;b
Chr1;114244;115392;b
Chr1;115421;116551;a
Chr1;116704;117093;b
Chr1;116957;117409;b
Chr1;117540;118757;b
Chr1;118869;119618;b
Chr1;120066;121238;a
Chr1;121382;121711;b
Chr1;122147;122431;a
Chr1;123133;123333;a
Chr1;123567;125894;b
Chr1;126066;126980;b
Chr1;127124;128281;a
Chr1;128343;130352;b
Chr1;130603;131202;b
Chr1;131331;132053;a
Chr1;132113;132379;a
Chr1;132484;133071;a
Chr1;133078;133344;a
Chr1;133724;134380;a
Chr1;134630;136978;a
Chr1;137053;137844;b
