Chr;start;end;group
Chr1;1;4425;a
Chr1;4428;4592;a
Chr1;4806;5171;a
Chr1;5326;7578;a
Chr1;8523;9878;a
Chr1;10412;10567;a
Chr1;11402;11551;a
Chr1;11572;11748;b
Chr1;12091;12291;a
Chr1;12608;13018;b
Chr1;13091;14689;b
Chr1;15136;15555;a
Chr1;15690;16100;b
Chr1;16305;18638;a
Chr1;19107;19256;b
Chr1;19962;21194;b
Chr1;21398;21922;b
Chr1;22475;22654;b
Chr1;22844;23845;a
Chr1;24247;24417;a
Chr1;24387;26231;b
Chr1;26543;27124;a
Chr1;27586;27804;a
Chr1;27936;28340;b
Chr1;28722;31043;b
Chr1;31082;31306;a
Chr1;31322;32896;b
Chr1;33166;33465;a
Chr1;33526;33723;b
Chr1;33720;33938;b
Chr1;33935;35188;b
Chr1;35260;35421;a
Chr1;35402;35647;a
Chr1;35756;38335;a
Chr1;38541;41072;a
Chr1;41190;41498;b
Chr1;41491;41721;a
Chr1;41889;43703;a
Chr1;44098;44715;a
Chr1;45069;45773;a
Chr1;45837;46394;a
Chr1;47208;47744;a
Chr1;47784;48362;a
Chr1;48335;48484;a
Chr1;48645;49181;b
Chr1;49142;51577;b
Chr1;52165;52419;b
Chr1;52301;52732;a
Chr1;52790;53410;a
Chr1;53526;53825;a
Chr1;53795;54271;b
Chr1;53911;55017;a
Chr1;55686;56183;b
Chr1;56087;56365;b
Chr1;56493;58193;b
Chr1;58911;59939;b
Chr1;60395;61573;a
Chr1;61649;61975;b
Chr1;61875;62636;a
Chr1;63053;63355;a
Chr1;63481;64350;a
Chr1;64521;64934;a
Chr1;65128;65538;a
Chr1;65504;65758;a
Chr1;65899;66837;b
Chr1;66904;68352;b
Chr1;68435;69607;a
Chr1;70123;70368;b
Chr1;70407;70559;b
Chr1;70574;71935;a
Chr1;71984;73042;a
Chr1;73377;74750;b
Chr1;75113;81550;b
Chr1;81701;82240;b
Chr1;82273;83367;a
Chr1;83450;83965;b
Chr1;84450;85010;b
Chr1;85306;85509;b
Chr1;86090;86632;b
Chr1;87500;87658;b
Chr1;87645;87959;b
Chr1;88142;88291;a
Chr1;89010;89399;b
Chr1;89330;89662;b
Chr1;89714;92101;a
Chr1;92454;92675;b
Chr1;93984;94133;b
Chr1;94558;94845;b
Chr1;94829;96631;b
Chr1;96870;99053;a
Chr1;99100;100590;a
Chr1;100881;102020;a
Chr1;102063;102377;a
Chr1;102518;103519;a
Chr1;103979;105328;b
Chr1;105489;105668;b
Chr1;106080;106604;b
Chr1;106973;107599;b
Chr1;107684;109276;a
Chr1;109713;109880;a
Chr1;110127;111083;b
Chr1;111681;113753;a
Chr1;114268;114546;a
Chr1;114566;114826;b
Chr1;114890;115069;a
Chr1;114993;115448;b
Chr1;115579;115788;b
Chr1;115879;117663;b
Chr1;118287;122159;b
Chr1;122375;122803;a
Chr1;122914;123066;b
Chr1;123232;123573;b
Chr1;123972;124646;a
Chr1;125197;125706;b
Chr1;125784;128231;b
Chr1;128352;128663;a
Chr1;128637;128795;b
Chr1;128841;130100;a
Chr1;130288;130683;a
Chr1;131089;131364;a
Chr1;131396;131569;a
Chr1;131761;132864;a
Chr1;133300;134010;b
Chr1;134346;135176;b
Chr1;135450;135914;b
Chr1;135945;136130;b
Chr1;136168;136869;b
Chr1;137004;137438;a
Chr1;137435;137611;b
Chr1;137559;138110;b
Chr1;138154;138858;a
Chr1;139222;140472;a
Chr1;140938;142059;a
Chr1;142070;142891;a
Chr1;143086;144303;a
Chr1;144437;144679;a
Chr1;144734;145759;a
Chr1;145820;146593;b
Chr1;146677;147642;b
Chr1;147479;148267;b
Chr1;148347;149042;a
Chr1;148985;149158;a
Chr1;149104;150726;b
Chr1;150996;151247;b
Chr1;151479;151940;a
Chr1;151931;153724;b
Chr1;154100;155245;a
Chr1;155426;155617;a
Chr1;155716;157287;a
Chr1;158295;159452;a
Chr1;159570;160955;b
Chr1;161217;161423;a
Chr1;161438;161593;a
Chr1;161658;162572;a
Chr1;163139;163627;b
Chr1;163676;164281;a
