Chr;start;end;group
Chr1;7754;8053;b
Chr1;7757;8056;b
Chr1;7769;8068;b
Chr1;23457;23756;b
Chr1;23458;23757;b
Chr1;23459;23758;b
Chr1;23462;23761;b
Chr1;33692;33991;a
Chr1;33694;33993;a
Chr1;33696;33995;a
Chr1;47014;47313;a
Chr1;49180;49479;b
Chr1;49181;49480;b
Chr1;49183;49482;b
Chr1;51125;51424;a
Chr1;58913;59212;a
Chr1;58915;59214;a
Chr1;58917;59216;a
Chr1;62540;62839;a
Chr1;62542;62841;a
Chr1;62544;62843;a
Chr1;76206;76505;b
Chr1;76210;76509;b
Chr1;76224;76523;b
Chr1;94135;94434;a
Chr1;94419;94718;a
Chr1;94474;94773;a
Chr1;94476;94775;a
Chr1;103301;103600;b
Chr1;103304;103603;b
Chr1;103305;103604;b
Chr1;103307;103606;b
Chr1;111603;111902;b
Chr1;111605;111904;b
Chr1;111617;111916;b
Chr1;116558;116857;b
Chr1;116559;116858;b
Chr1;116561;116860;b
Chr1;123187;123486;a
Chr1;123189;123488;a
Chr1;123191;123490;a
Chr1;133196;133495;a
Chr1;133198;133497;a
Chr1;133199;133498;a
Chr1;133200;133499;a
