Chr;start;end;group
Chr1;23666;23812;a
Chr1;23750;23896;b
Chr1;23850;23996;a
Chr1;23852;23998;a
Chr1;24423;24569;a
Chr1;24707;24853;b
Chr1;24709;24855;b
Chr1;24807;24953;a
Chr1;25080;25226;b
Chr1;25082;25228;b
Chr1;25180;25326;a
Chr1;25182;25328;a
Chr1;42571;42717;b
Chr1;42669;42815;a
Chr1;43477;43623;a
Chr1;45209;45355;b
Chr1;45309;45455;a
Chr1;62280;62426;a
Chr1;62281;62427;a
Chr1;62485;62631;b
Chr1;62487;62633;b
Chr1;62585;62731;a
Chr1;62587;62733;a
Chr1;63049;63195;b
Chr1;63050;63196;b
Chr1;70597;70743;b
Chr1;70697;70843;a
Chr1;70760;70906;b
Chr1;70860;71006;a
Chr1;71469;71615;b
Chr1;71470;71616;b
Chr1;80046;80192;b
Chr1;80097;80243;b
Chr1;80197;80343;a
Chr1;80249;80395;b
Chr1;80820;80966;b
Chr1;80822;80968;b
Chr1;80824;80970;b
Chr1;80922;81068;a
Chr1;80974;81120;b
Chr1;81074;81220;a
Chr1;101632;101778;b
Chr1;101732;101878;a
Chr1;101779;101925;b
Chr1;101877;102023;a
Chr1;101879;102025;a
Chr1;103313;103459;b
Chr1;103413;103559;a
Chr1;110315;110461;b
Chr1;110317;110463;b
