Chr;start;end;group
Chr1;10637;10936;b
Chr1;10641;10940;b
Chr1;10643;10942;b
Chr1;10647;10946;b
Chr1;11433;11732;a
Chr1;11434;11733;a
Chr1;11440;11739;a
Chr1;11532;11831;b
Chr1;18924;19223;b
Chr1;18925;19224;b
Chr1;18926;19225;b
Chr1;18927;19226;b
Chr1;19716;20015;a
Chr1;19720;20019;a
Chr1;19722;20021;a
Chr1;19726;20025;a
Chr1;33347;33646;a
Chr1;33348;33647;a
Chr1;33354;33653;a
Chr1;69857;70156;b
Chr1;69861;70160;b
Chr1;86971;87270;a
Chr1;87415;87714;b
Chr1;88173;88472;a
Chr1;88174;88473;a
Chr1;88370;88669;a
Chr1;93788;94087;b
Chr1;93801;94100;b
Chr1;93803;94102;b
Chr1;123945;124244;a
Chr1;123951;124250;a
