Chr;start;end;group
Chr1;42;242;a
Chr1;1103;1398;a
Chr1;2115;2414;a
Chr1;3650;3993;a
Chr1;7568;7837;a
Chr1;7951;8405;a
Chr1;8668;8721;a
Chr1;8756;8953;a
Chr1;14908;15267;a
Chr1;16323;16466;a
Chr1;17386;17595;a
Chr1;17920;18095;a
Chr1;18489;18929;a
Chr1;19446;19523;a
Chr1;21741;22215;a
Chr1;22455;22979;a
Chr1;25044;25124;a
Chr1;27971;28300;a
Chr1;28501;29130;a
Chr1;30914;31088;a
Chr1;32279;32516;a
Chr1;38542;38772;a
Chr1;39564;39785;a
Chr1;41256;41471;a
Chr1;44563;44682;a
Chr1;45377;45632;a
Chr1;46188;46359;a
Chr1;46886;47047;a
Chr1;49200;49679;a
Chr1;49850;49999;a
Chr1;50225;50324;a
Chr1;55310;55512;a
Chr1;56191;56463;a
Chr1;57291;57486;a
Chr1;58869;59096;a
Chr1;59938;60157;a
Chr1;65177;65470;a
Chr1;66202;66331;a
Chr1;69793;70212;a
Chr1;70469;70643;a
Chr1;72103;72180;a
Chr1;74482;74712;a
Chr1;78136;78319;a
Chr1;79786;80013;a
Chr1;81311;81566;a
Chr1;83055;83234;a
Chr1;85338;85511;a
Chr1;85685;85828;a
Chr1;90640;90909;a
Chr1;95717;96066;a
Chr1;100490;100969;a
Chr1;106516;106630;a
Chr1;109769;110353;a
